date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Maharashtra,Mumbai Suburban,400064,145,138
01-03-2025,Maharashtra,Pune,412216,156,165
01-03-2025,Maharashtra,Sindhudurg,416804,65,54
01-03-2025,Maharashtra,Raigarh,402120,35,74
01-03-2025,Maharashtra,Pune,411001,273,413
01-03-2025,Maharashtra,Ratnagiri,415639,84,222
01-03-2025,Maharashtra,Dhule,424304,655,2574
01-03-2025,Maharashtra,Beed,431123,946,1245
01-03-2025,Maharashtra,Nanded,431505,104,174
01-03-2025,Maharashtra,Pune,411023,125,287
01-03-2025,Maharashtra,Pune,411033,626,1221
01-03-2025,Maharashtra,Ratnagiri,415803,98,220
01-03-2025,Maharashtra,Solapur,413412,46,85
01-03-2025,Maharashtra,Pune,412305,54,170
01-03-2025,Maharashtra,Sindhudurg,416534,19,73
01-03-2025,Maharashtra,Nashik,422201,46,107
01-03-2025,Maharashtra,Osmanabad,413526,39,75
01-03-2025,Maharashtra,Nashik,422101,672,1576
01-03-2025,Maharashtra,Mumbai Suburban,400050,122,203
01-03-2025,Maharashtra,Mumbai,400025,34,175
01-03-2025,Maharashtra,Pune,412108,29,104
01-03-2025,Maharashtra,Mumbai City,400011,47,110
01-03-2025,Maharashtra,Satara,415004,156,258
01-03-2025,Maharashtra,Washim,444510,161,413
01-03-2025,Maharashtra,Latur,413519,432,482
01-03-2025,Maharashtra,Satara,415002,384,745
01-03-2025,Maharashtra,Osmanabad,413501,1042,1396
01-03-2025,Maharashtra,Yavatmal,445210,114,260
01-03-2025,Maharashtra,Pune,413105,64,96
01-03-2025,Maharashtra,Pune,411011,133,251
01-03-2025,Maharashtra,Mumbai,400019,35,206
01-03-2025,Maharashtra,Sangli,416306,53,101
01-03-2025,Maharashtra,Jalgaon,425507,75,275
01-03-2025,Maharashtra,Nagpur,440007,12,39
01-03-2025,Maharashtra,Nashik,422305,308,473
01-03-2025,Maharashtra,Solapur,413202,273,226
01-03-2025,Maharashtra,Buldhana,443201,605,1030
01-03-2025,Maharashtra,Nagpur,441202,196,608
01-03-2025,Maharashtra,Kolhapur,416508,45,239
01-03-2025,Maharashtra,Sangli,416413,353,806
01-03-2025,Maharashtra,Amravati,444805,122,394
01-03-2025,Maharashtra,Jalgaon,425105,288,591
01-03-2025,Maharashtra,Ahmadnagar,422604,110,774
01-03-2025,Maharashtra,Pune,410513,45,50
01-03-2025,Maharashtra,Mumbai Suburban,400063,77,104
01-03-2025,Maharashtra,Mumbai Suburban,400095,203,355
01-03-2025,Maharashtra,Mumbai Suburban,400094,32,33
01-03-2025,Maharashtra,Amravati,444711,69,248
01-03-2025,Maharashtra,Pune,410510,23,78
01-03-2025,Maharashtra,Jalgaon,425524,53,90
01-03-2025,Maharashtra,Ahmadnagar,414101,57,145
01-03-2025,Maharashtra,Latur,413517,633,1560
01-03-2025,Maharashtra,Ratnagiri,416713,16,68
01-03-2025,Maharashtra,Solapur,413216,354,570
01-03-2025,Maharashtra,Amravati,444706,164,444
01-03-2025,Maharashtra,Mumbai,400034,27,116
01-03-2025,Maharashtra,Chandrapur,442401,715,1613
01-03-2025,Maharashtra,Nashik,423110,85,140
01-03-2025,Maharashtra,Thane,400615,155,579
01-03-2025,Maharashtra,Solapur,413224,91,226
01-03-2025,Maharashtra,Raigarh,402110,88,174
01-03-2025,Maharashtra,Nashik,422214,10,44
01-03-2025,Maharashtra,Sangli,416404,380,605
01-03-2025,Maharashtra,Kolhapur,416121,234,367
01-03-2025,Maharashtra,Nashik,422003,995,2399
01-03-2025,Maharashtra,Kolhapur,416502,180,397
01-03-2025,Maharashtra,Ahmadnagar,413723,36,67
01-03-2025,Maharashtra,Satara,415526,19,45
01-03-2025,Maharashtra,Solapur,413223,53,54
01-03-2025,Maharashtra,Nashik,422606,206,319
01-03-2025,Maharashtra,Ahmadnagar,414606,22,51
01-03-2025,Maharashtra,Mumbai,400102,95,420
01-03-2025,Maharashtra,Satara,415510,43,106
01-03-2025,Maharashtra,Beed,431519,158,1342
01-03-2025,Maharashtra,Solapur,413307,321,480
01-03-2025,Maharashtra,Thane,421002,241,767
