date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Maharashtra,Ratnagiri,415620,14,199
01-03-2025,Maharashtra,Chhatrapati Sambhajinagar,431001,45,504
01-03-2025,Maharashtra,Nagpur,440022,20,395
01-03-2025,Maharashtra,Amravati,444905,39,829
01-03-2025,Maharashtra,Mumbai,400092,12,330
01-03-2025,Maharashtra,Mumbai City,400004,24,291
01-03-2025,Maharashtra,Parbhani,431506,40,967
01-03-2025,Maharashtra,Thane,400606,102,1021
01-03-2025,Maharashtra,Nanded,431804,32,1057
01-03-2025,Maharashtra,Kolhapur,416210,11,239
01-03-2025,Maharashtra,Pune,412205,18,481
01-03-2025,Maharashtra,Pune,411043,53,521
01-03-2025,Maharashtra,Pune,411057,129,1299
01-03-2025,Maharashtra,Pune,412209,13,358
01-03-2025,Maharashtra,Raigad,410206,188,2307
01-03-2025,Maharashtra,Satara,415539,11,232
01-03-2025,Maharashtra,Mumbai Suburban,400061,22,326
01-03-2025,Maharashtra,Sangli,416416,76,1243
01-03-2025,Maharashtra,Nashik,422006,69,467
01-03-2025,Maharashtra,Kolhapur,416001,24,621
01-03-2025,Maharashtra,Solapur,413215,18,289
01-03-2025,Maharashtra,Kolhapur,416010,22,447
01-03-2025,Maharashtra,Aurangabad,431111,40,732
01-03-2025,Maharashtra,Dhule,425428,30,605
01-03-2025,Maharashtra,Satara,415508,19,595
01-03-2025,Maharashtra,Dhule,424005,18,147
01-03-2025,Maharashtra,Akola,444005,14,175
01-03-2025,Maharashtra,Nagpur,440023,147,883
01-03-2025,Maharashtra,Bhandara,441802,41,577
01-03-2025,Maharashtra,Nashik,423203,111,1536
01-03-2025,Maharashtra,Nanded,431602,41,681
01-03-2025,Maharashtra,Pune,412213,20,331
01-03-2025,Maharashtra,Satara,415012,11,138
01-03-2025,Maharashtra,Solapur,413005,38,454
01-03-2025,Maharashtra,Nashik,423502,25,290
01-03-2025,Maharashtra,Nagpur,440025,10,217
01-03-2025,Maharashtra,Aurangabad,431151,22,250
01-03-2025,Maharashtra,Hingoli,431542,25,608
01-03-2025,Maharashtra,Beed,431530,20,457
01-03-2025,Maharashtra,Nanded,431718,17,438
01-03-2025,Maharashtra,Ahmadnagar,414111,19,427
01-03-2025,Maharashtra,Kolhapur,416507,23,206
01-03-2025,Maharashtra,Sangli,416310,24,287
01-03-2025,Maharashtra,Thane,400603,15,254
01-03-2025,Maharashtra,Osmanabad,413525,24,631
01-03-2025,Maharashtra,Kolhapur,416106,17,262
01-03-2025,Maharashtra,Pune,411028,167,1622
01-03-2025,Maharashtra,Ahmadnagar,413204,17,368
01-03-2025,Maharashtra,Mumbai Suburban,400102,62,691
01-03-2025,Maharashtra,Thane,400708,131,1281
01-03-2025,Maharashtra,Satara,415001,13,233
01-03-2025,Maharashtra,Hingoli,431513,80,2421
01-03-2025,Maharashtra,Pune,413106,69,927
01-04-2025,Maharashtra,Mumbai Suburban,400067,148,1549
01-04-2025,Maharashtra,Thane,400612,611,3624
01-04-2025,Maharashtra,Nagpur,440024,141,1381
01-04-2025,Maharashtra,Mumbai Suburban,400101,138,1282
01-04-2025,Maharashtra,Thane,421301,301,2490
01-04-2025,Maharashtra,Gondiya,441807,71,191
01-04-2025,Maharashtra,Mumbai Suburban,400095,116,1135
01-04-2025,Maharashtra,Pune,411045,71,642
01-04-2025,Maharashtra,Pune,411033,193,1685
01-05-2025,Maharashtra,Thane,421503,187,1359
01-05-2025,Maharashtra,Chandrapur,442702,25,794
01-05-2025,Maharashtra,Pune,411028,160,1295
01-05-2025,Maharashtra,Nashik,422003,220,1435
01-05-2025,Maharashtra,Wardha,442001,198,1067
01-05-2025,Maharashtra,Palghar,421303,63,1026
01-05-2025,Maharashtra,Pune,411048,248,1665
01-05-2025,Maharashtra,Yavatmal,445001,69,816
01-05-2025,Maharashtra,Nagpur,440035,145,834
01-05-2025,Maharashtra,Thane,421204,131,1300
